EMPLOYEE_ID,ACTIVITY_DATE,ACTIVITY_TYPE,POINTS_EARNED,VENDOR_CODE,VERIFIED_FLAG
EM0000001,01/12/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000001,02/08/2024,GYM_VISIT,5,VITALITY,Y
EM0000001,03/15/2024,GYM_VISIT,5,VITALITY,Y
EM0000001,04/22/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000001,06/10/2024,STEPS_CHALLENGE,25,VITALITY,Y
EM0000001,09/05/2024,NUTRITION_CLASS,20,VITALITY,Y
EM0000002,01/18/2024,BIOMETRIC_SCREEN,50,VIRGIN_PULSE,Y
EM0000002,02/14/2024,HEALTH_ASSESSMENT,25,VIRGIN_PULSE,Y
EM0000002,03/22/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000002,04/11/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000002,05/19/2024,STEPS_CHALLENGE,25,VIRGIN_PULSE,Y
EM0000002,07/08/2024,NUTRITION_CLASS,20,VIRGIN_PULSE,Y
EM0000002,08/29/2024,MEDITATION,5,VIRGIN_PULSE,Y
EM0000002,10/15/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000003,02/07/2024,BIOMETRIC_SCREEN,50,RALLY,Y
EM0000003,03/19/2024,HEALTH_ASSESSMENT,25,RALLY,Y
EM0000003,05/14/2024,STEPS_CHALLENGE,25,RALLY,Y
EM0000003,07/23/2024,NUTRITION_CLASS,20,RALLY,Y
EM0000003,09/11/2024,MEDITATION,5,RALLY,Y
EM0000004,01/09/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000004,02/22/2024,TOBACCO_CESSATION,50,LIVONGO,Y
EM0000004,03/28/2024,TOBACCO_CESSATION,50,LIVONGO,Y
EM0000004,04/25/2024,TOBACCO_CESSATION,50,LIVONGO,Y
EM0000004,06/13/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000004,08/07/2024,STEPS_CHALLENGE,25,VITALITY,Y
EM0000004,10/18/2024,NUTRITION_CLASS,20,VITALITY,Y
EM0000005,03/05/2024,BIOMETRIC_SCREEN,50,RALLY,Y
EM0000005,05/20/2024,GYM_VISIT,5,RALLY,Y
EM0000005,07/15/2024,MEDITATION,5,RALLY,Y
EM0000006,01/25/2024,BIOMETRIC_SCREEN,50,VIRGIN_PULSE,Y
EM0000006,02/12/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000006,03/07/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000006,04/18/2024,HEALTH_ASSESSMENT,25,VIRGIN_PULSE,Y
EM0000006,06/26/2024,STEPS_CHALLENGE,25,VIRGIN_PULSE,Y
EM0000006,08/14/2024,NUTRITION_CLASS,20,VIRGIN_PULSE,Y
EM0000006,10/03/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000007,04/15/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000007,06/20/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000007,08/08/2024,GYM_VISIT,5,VITALITY,Y
EM0000008,01/11/2024,BIOMETRIC_SCREEN,50,VIRGIN_PULSE,Y
EM0000008,02/19/2024,HEALTH_ASSESSMENT,25,VIRGIN_PULSE,Y
EM0000008,03/14/2024,STEPS_CHALLENGE,25,VIRGIN_PULSE,Y
EM0000008,04/29/2024,NUTRITION_CLASS,20,VIRGIN_PULSE,Y
EM0000008,05/08/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000008,06/19/2024,GYM_VISIT,5,VIRGIN_PULSE,Y
EM0000008,07/25/2024,STEPS_CHALLENGE,25,VIRGIN_PULSE,Y
EM0000008,09/12/2024,MEDITATION,5,VIRGIN_PULSE,Y
EM0000008,11/07/2024,NUTRITION_CLASS,20,VIRGIN_PULSE,Y
EM0000009,02/06/2024,BIOMETRIC_SCREEN,50,RALLY,Y
EM0000009,03/21/2024,HEALTH_ASSESSMENT,25,RALLY,Y
EM0000009,05/09/2024,STEPS_CHALLENGE,25,RALLY,Y
EM0000009,07/17/2024,NUTRITION_CLASS,20,RALLY,Y
EM0000009,09/24/2024,GYM_VISIT,5,RALLY,Y
EM0000010,01/30/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000010,03/12/2024,GYM_VISIT,5,VITALITY,Y
EM0000010,05/28/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000010,07/16/2024,MEDITATION,5,VITALITY,Y
EM0000011,01/08/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000011,02/16/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000011,03/29/2024,STEPS_CHALLENGE,25,VITALITY,Y
EM0000011,04/17/2024,NUTRITION_CLASS,20,VITALITY,Y
EM0000011,05/22/2024,GYM_VISIT,5,VITALITY,Y
EM0000011,06/27/2024,MEDITATION,5,VITALITY,Y
EM0000011,07,TOBACCO_CESSATION,50,LIVONGO,N
EM0000011,08/01/2024,STEPS_CHALLENGE,25,VITALITY,Y
EM0000011,09/18/2024,GYM_VISIT,5,VITALITY,Y
EM0000011,10/22/2024,NUTRITION_CLASS,20,VITALITY,Y
EM0000012,02/20/2024,BIOMETRIC_SCREEN,50,VIRGIN_PULSE,Y
EM0000012,04/10/2024,HEALTH_ASSESSMENT,25,VIRGIN_PULSE,Y
EM0000013,03/08/2024,BIOMETRIC_SCREEN,50,RALLY,Y
EM0000013,06/14/2024,GYM_VISIT,5,RALLY,Y
EM0000014,04/04/2024,BIOMETRIC_SCREEN,50,VITALITY,Y
EM0000014,05/17/2024,HEALTH_ASSESSMENT,25,VITALITY,Y
EM0000014,07/11/2024,STEPS_CHALLENGE,25,VITALITY,Y
